original_id,original_acronym,original_name,target_id,target_acronym
312782648,VISpor6a,Postrhinal area layer 6a,315,Isocortex
312782652,VISpor6b,Postrhinal area layer 6b,315,Isocortex
480149202,VISrll,Rostrolateral lateral visual area,315,Isocortex
480149206,VISrll1,Rostrolateral lateral visual area layer 1,315,Isocortex
480149210,VISrll2/3,Rostrolateral lateral visual area layer 2/3,315,Isocortex
480149214,VISrll4,Rostrolateral lateral visual area layer 4,315,Isocortex
480149218,VISrll5,Rostrolateral lateral visual arealayer 5,315,Isocortex
480149222,VISrll6a,Rostrolateral lateral visual area layer 6a,315,Isocortex
480149226,VISrll6b,Rostrolateral lateral visual area layer 6b,315,Isocortex
480149230,VISlla,Laterolateral anterior visual area,315,Isocortex
480149234,VISlla1,Laterolateral anterior visual area layer 1,315,Isocortex
480149238,VISlla2/3,Laterolateral anterior visual area layer 2/3,315,Isocortex
480149242,VISlla4,Laterolateral anterior visual area layer 4,315,Isocortex
480149246,VISlla5,Laterolateral anterior visual arealayer 5,315,Isocortex
480149250,VISlla6a,Laterolateral anterior visual area layer 6a,315,Isocortex
480149254,VISlla6b,Laterolateral anterior visual area layer 6b,315,Isocortex
480149258,VISmma,Mediomedial anterior visual area,315,Isocortex
480149262,VISmma1,Mediomedial anterior visual area layer 1,315,Isocortex
480149266,VISmma2/3,Mediomedial anterior visual area layer 2/3,315,Isocortex
480149270,VISmma4,Mediomedial anterior visual area layer 4,315,Isocortex
480149274,VISmma5,Mediomedial anterior visual arealayer 5,315,Isocortex
480149278,VISmma6a,Mediomedial anterior visual area layer 6a,315,Isocortex
480149282,VISmma6b,Mediomedial anterior visual area layer 6b,315,Isocortex
480149286,VISmmp,Mediomedial posterior visual area,315,Isocortex
480149290,VISmmp1,Mediomedial posterior visual area layer 1,315,Isocortex
480149294,VISmmp2/3,Mediomedial posterior visual area layer 2/3,315,Isocortex
480149298,VISmmp4,Mediomedial posterior visual area layer 4,315,Isocortex
480149302,VISmmp5,Mediomedial posterior visual arealayer 5,315,Isocortex
480149306,VISmmp6a,Mediomedial posterior visual area layer 6a,315,Isocortex
480149310,VISmmp6b,Mediomedial posterior visual area layer 6b,315,Isocortex
480149314,VISm,Medial visual area,315,Isocortex
480149318,VISm1,Medial visual area layer 1,315,Isocortex
480149322,VISm2/3,Medial visual area layer 2/3,315,Isocortex
480149326,VISm4,Medial visual area layer 4,315,Isocortex
480149330,VISm5,Medial visual arealayer 5,315,Isocortex
480149334,VISm6a,Medial visual area layer 6a,315,Isocortex
480149338,VISm6b,Medial visual area layer 6b,315,Isocortex
484682470,ProS,Prosubiculum,822,RHP
484682475,ProSd,Prosubiculum dorsal part,822,RHP
484682479,ProSd-m,Prosubiculum dorsal part molecular layer,822,RHP
484682483,ProSd-sp,Prosubiculum dorsal part pyramidal layer,822,RHP
484682487,ProSd-sr,Prosubiculum dorsal part stratum radiatum,822,RHP
484682492,ProSv,Prosubiculum ventral part,822,RHP
484682496,ProSv-m,Prosubiculum ventral part molecular layer,822,RHP
484682500,ProSv-sp,Prosubiculum ventral part pyramidal layer,822,RHP
484682504,Prosv-sr,Prosubiculum ventral part stratum radiatum,822,RHP
484682508,APr,Area prostriata,822,RHP
496345664,LGd-sh,Dorsal part of the lateral geniculate complex shell,1129,IB
496345668,LGd-co,Dorsal part of the lateral geniculate complex core,1129,IB
496345672,LGd-ip,Dorsal part of the lateral geniculate complex ipsilateral zone,1129,IB
526157192,FRP5,Frontal pole layer 5,315,Isocortex
526157196,FRP6a,Frontal pole layer 6a,315,Isocortex
526322264,FRP6b,Frontal pole layer 6b,315,Isocortex
527696977,ORBm6b,Orbital area medial part layer 6b,315,Isocortex
549009199,LSS,Lateral strip of striatum,623,CNU
549009203,RPF,Retroparafascicular nucleus,313,MB
549009207,InCo,Intercollicular nucleus,313,MB
549009211,MA3,Medial accesory oculomotor nucleus,313,MB
549009215,P5,Peritrigeminal zone,1065,HB
