original_id,original_acronym,original_name,target_id,target_acronym
226,LPO,Lateral preoptic area,1129,IB
227,ACA6b,Anterior cingulate area layer 6b,315,Isocortex
228,MOBipl,Main olfactory bulb inner plexiform layer,698,OLF
230,RPA,Nucleus raphe pallidus,1065,HB
231,AT,Anterior tegmental nucleus,313,MB
232,COApl3,Cortical amygdalar area posterior part lateral zone layer 3,698,OLF
233,VISal5,Anterolateral visual area layer 5,315,Isocortex
234,TEa4,Temporal association areas layer 4,315,Isocortex
235,LRN,Lateral reticular nucleus,1065,HB
236,MOBmi,Main olfactory bulb mitral layer,698,OLF
238,RPO,Nucleus raphe pontis,1065,HB
239,ATN,Anterior group of the dorsal thalamus,1129,IB
240,COApm1,Cortical amygdalar area posterior part medial zone layer 1,698,OLF
241,PTLp2/3,Posterior parietal association areas layer 2/3,315,Isocortex
242,LS,Lateral septal nucleus,623,CNU
243,AUDd6b,Dorsal auditory area layer 6b,315,Isocortex
244,MOBopl,Main olfactory bulb outer plexiform layer,698,OLF
246,RR,Midbrain reticular nucleus retrorubral area,313,MB
247,AUD,Auditory areas,315,Isocortex
248,COApm2,Cortical amygdalar area posterior part medial zone layer 2,698,OLF
249,AUDpo6a,Posterior auditory area layer 6a,315,Isocortex
250,LSc,Lateral septal nucleus caudal (caudodorsal) part,623,CNU
251,AUDp2/3,Primary auditory area layer 2/3,315,Isocortex
252,AUDd5,Dorsal auditory area layer 5,315,Isocortex
254,RSP,Retrosplenial area,315,Isocortex
255,AV,Anteroventral nucleus of thalamus,1129,IB
256,COApm3,Cortical amygdalar area posterior part medial zone layer 3,698,OLF
257,VISpm6a,posteromedial visual area layer 6a,315,Isocortex
258,LSr,Lateral septal nucleus rostral (rostroventral) part,623,CNU
259,ENTmv1,Entorhinal area medial part ventral zone layer 1,822,RHP
260,NLOT1,Nucleus of the lateral olfactory tract molecular layer,698,OLF
262,RT,Reticular nucleus of the thalamus,1129,IB
263,AVP,Anteroventral preoptic nucleus,1129,IB
264,ORB1,Orbital area layer 1,315,Isocortex
266,LSv,Lateral septal nucleus ventral part,623,CNU
267,DP6a,Dorsal peduncular area layer 6a,698,OLF
268,NLOT2,Nucleus of the lateral olfactory tract pyramidal layer,698,OLF
269,VISpl2/3,Posterolateral visual area layer 2/3,315,Isocortex
271,SAG,Nucleus sagulum,313,MB
272,AVPV,Anteroventral periventricular nucleus,1129,IB
274,RSPd6a,Retrosplenial area dorsal part layer 6a,315,Isocortex
275,LSX,Lateral septal complex,623,CNU
276,PIR1,Piriform area molecular layer,698,OLF
278,sAMY,Striatum-like amygdalar nuclei,623,CNU
279,RSPagl6b,Retrosplenial area lateral agranular part layer 6b,315,Isocortex
280,B,Barrington's nucleus,1065,HB
281,VISam1,Anteromedial visual area layer 1,315,Isocortex
283,LTN,Lateral tegmental nucleus,1065,HB
284,PIR2,Piriform area pyramidal layer,698,OLF
286,SCH,Suprachiasmatic nucleus,1129,IB
287,BAC,Bed nucleus of the anterior commissure,623,CNU
288,ORBvl2/3,Orbital area ventrolateral part layer 2/3,315,Isocortex
289,TEa5,Temporal association areas layer 5,315,Isocortex
290,LZ,Hypothalamic lateral zone,1129,IB
291,PIR3,Piriform area polymorph layer,698,OLF
292,BA,Bed nucleus of the accessory olfactory tract,623,CNU
294,SCm,Superior colliculus motor related,313,MB
295,BLA,Basolateral amygdalar nucleus,703,CTXsp
296,ACAv2/3,Anterior cingulate area ventral part layer 2/3,315,Isocortex
297,TTd1-4,Taenia tecta dorsal part layers 1-4,698,OLF
298,MA,Magnocellular nucleus,623,CNU
299,MO5,Somatomotor areas Layer 5,315,Isocortex
300,LGvl,Ventral part of the lateral geniculate complex lateral zone,1129,IB
302,SCs,Superior colliculus sensory related,313,MB
303,BLAa,Basolateral amygdalar nucleus anterior part,703,CTXsp
304,PL2/3,Prelimbic area layer 2/3,315,Isocortex
305,VISp6b,Primary visual area layer 6b,315,Isocortex
306,TTv1-3,Taenia tecta ventral part layers 1-3,698,OLF
307,MARN,Magnocellular reticular nucleus,1065,HB
308,PTLp6a,Posterior parietal association areas layer 6a,315,Isocortex
310,SF,Septofimbrial nucleus,623,CNU
311,BLAp,Basolateral amygdalar nucleus posterior part,703,CTXsp
312,ENTl4/5,Entorhinal area lateral part layer 4/5,822,RHP
313,MB,Midbrain,313,MB
314,AIp6a,Agranular insular area posterior part layer 6a,315,Isocortex
315,Isocortex,Isocortex,315,Isocortex
316,LGvm,Ventral part of the lateral geniculate complex medial zone,1129,IB
318,SG,Supragenual nucleus,1065,HB
319,BMA,Basomedial amygdalar nucleus,703,CTXsp
320,MOp1,Primary motor area Layer 1,315,Isocortex
321,SubG,Subgeniculate nucleus,1129,IB
322,SSp,Primary somatosensory area,315,Isocortex
323,MBmot,Midbrain motor related,313,MB
324,ENTmv2,Entorhinal area medial part ventral zone layer 2,822,RHP
325,SGN,Suprageniculate nucleus,1129,IB
327,BMAa,Basomedial amygdalar nucleus anterior part,703,CTXsp
328,AId2/3,Agranular insular area dorsal part layer 2/3,315,Isocortex
329,SSp-bfd,Primary somatosensory area barrel field,315,Isocortex
330,RSPd6b,Retrosplenial area dorsal part layer 6b,315,Isocortex
331,MBO,Mammillary body,1129,IB
332,ASO,Accessory supraoptic group,1129,IB
333,SH,Septohippocampal nucleus,623,CNU
334,BMAp,Basomedial amygdalar nucleus posterior part,703,CTXsp
335,PERI6a,Perirhinal area layer 6a,315,Isocortex
337,SSp-ll,Primary somatosensory area lower limb,315,Isocortex
338,SFO,Subfornical organ,1129,IB
339,MBsen,Midbrain sensory related,313,MB
340,PTLp6b,Posterior parietal association areas layer 6b,315,Isocortex
342,SI,Substantia innominata,623,CNU
344,AIp5,Agranular insular area posterior part layer 5,315,Isocortex
345,SSp-m,Primary somatosensory area mouth,315,Isocortex
346,SSp2/3,Primary somatosensory area layer 2/3,315,Isocortex
347,SBPV,Subparaventricular zone,1129,IB
348,MBsta,Midbrain behavioral state related,313,MB
350,SLC,Subceruleus nucleus,1065,HB
351,BST,Bed nuclei of the stria terminalis,623,CNU
352,ORB5,Orbital area layer 5,315,Isocortex
353,SSp-n,Primary somatosensory area nose,315,Isocortex
354,MY,Medulla,1065,HB
355,AIp6b,Agranular insular area posterior part layer 6b,315,Isocortex
356,PST,Preparasubthalamic nucleus,1129,IB
358,SLD,Sublaterodorsal nucleus,1065,HB
359,BSTa,Bed nuclei of the stria terminalis anterior division,623,CNU
360,DP2/3,Dorsal peduncular area layer 2/3,698,OLF
361,SSp-tr,Primary somatosensory area trunk,315,Isocortex
362,MD,Mediodorsal nucleus of thalamus,1129,IB
363,PL5,Prelimbic area layer 5,315,Isocortex
364,PSTN,Parasubthalamic nucleus,1129,IB
366,SMT,Submedial nucleus of the thalamus,1129,IB
367,BSTp,Bed nuclei of the stria terminalis posterior division,623,CNU
368,PERI6b,Perirhinal area layer 6b,315,Isocortex
369,SSp-ul,Primary somatosensory area upper limb,315,Isocortex
370,MY-mot,Medulla motor related,1065,HB
371,ENTmv3,Entorhinal area medial part ventral zone layer 3,822,RHP
372,ICB,Infracerebellar nucleus,1065,HB
374,SNc,Substantia nigra compact part,313,MB
375,CA,Ammon's horn,1080,HIP
376,COApl1-3,Cortical amygdalar area posterior part lateral zone layers 1-3,698,OLF
377,VISpl6a,Posterolateral visual area layer 6a,315,Isocortex
378,SSs,Supplemental somatosensory area,315,Isocortex
379,MY-sat,Medulla behavioral state related,1065,HB
381,SNr,Substantia nigra reticular part,313,MB
382,CA1,Field CA1,1080,HIP
383,COApm1-3,Cortical amygdalar area posterior part medial zone layers 1-3,698,OLF
385,VISp,Primary visual area,315,Isocortex
386,MY-sen,Medulla sensory related,1065,HB
387,ENTl5/6,Entorhinal area lateral part layer 5/6,822,RHP
390,SO,Supraoptic nucleus,1129,IB
391,CA1slm,Field CA1 stratum lacunosum-moleculare,1080,HIP
392,NLOT1-3,Nucleus of the lateral olfactory tract layers 1-3,698,OLF
393,VISpl6b,Posterolateral visual area layer 6b,315,Isocortex
394,VISam,Anteromedial visual area,315,Isocortex
395,MDRN,Medullary reticular nucleus,1065,HB
398,SOC,Superior olivary complex,1065,HB
399,CA1so,Field CA1 stratum oriens,1080,HIP
400,PAA1-3,Piriform-amygdalar area layers 1-3,698,OLF
401,VISam4,Anteromedial visual area layer 4,315,Isocortex
402,VISal,Anterolateral visual area,315,Isocortex
403,MEA,Medial amygdalar nucleus,623,CNU
406,SPF,Subparafascicular nucleus,1129,IB
407,CA1sp,Field CA1 pyramidal layer,1080,HIP
408,PAA1,Piriform-amygdalar area molecular layer,698,OLF
409,VISl,Lateral visual area,315,Isocortex
411,MEAad,Medial amygdalar nucleus anterodorsal part,623,CNU
412,ORBl2/3,Orbital area lateral part layer 2/3,315,Isocortex
414,SPFm,Subparafascicular nucleus magnocellular part,1129,IB
415,CA1sr,Field CA1 stratum radiatum,1080,HIP
416,PAA2,Piriform-amygdalar area pyramidal layer,698,OLF
417,VISrl,Rostrolateral visual area,315,Isocortex
418,MEAav,Medial amygdalar nucleus anteroventral part,623,CNU
419,ENTmv4,Entorhinal area medial part ventral zone layer 4,822,RHP
421,VISl1,Lateral visual area layer 1,315,Isocortex
422,SPFp,Subparafascicular nucleus parvicellular part,1129,IB
423,CA2,Field CA2,1080,HIP
424,PAA3,Piriform-amygdalar area polymorph layer,698,OLF
425,VISpl,Posterolateral visual area,315,Isocortex
426,MEApd,Medial amygdalar nucleus posterodorsal part,623,CNU
427,ECT2/3,Ectorhinal area/Layer 2/3,315,Isocortex
429,SPVC,Spinal nucleus of the trigeminal caudal part,1065,HB
430,RSPv2/3,Retrosplenial area ventral part layer 2/3,315,Isocortex
431,CA2slm,Field CA2 stratum lacunosum-moleculare,1080,HIP
432,NC,Nucleus circularis,1129,IB
433,VISam5,Anteromedial visual area layer 5,315,Isocortex
434,RSPd2/3,Retrosplenial area dorsal part layer 2/3,315,Isocortex
435,MEApv,Medial amygdalar nucleus posteroventral part,623,CNU
437,SPVI,Spinal nucleus of the trigeminal interpolar part,1065,HB
438,CA2so,Field CA2 stratum oriens,1080,HIP
439,PVHdp,Paraventricular hypothalamic nucleus descending division dorsal parvicellular part,1129,IB
440,ORBl6a,Orbital area lateral part layer 6a,315,Isocortex
441,VISam6b,Anteromedial visual area layer 6b,315,Isocortex
442,RSPd1,Retrosplenial area dorsal part layer 1,315,Isocortex
444,MED,Medial group of the dorsal thalamus,1129,IB
445,SPVO,Spinal nucleus of the trigeminal oral part,1065,HB
446,CA2sp,Field CA2 pyramidal layer,1080,HIP
447,PVHf,Paraventricular hypothalamic nucleus descending division forniceal part,1129,IB
448,ORBl1,Orbital area lateral part layer 1,315,Isocortex
450,SSp-ul1,Primary somatosensory area upper limb layer 1,315,Isocortex
451,BLAv,Basolateral amygdalar nucleus ventral part,703,CTXsp
452,MEPO,Median preoptic nucleus,1129,IB
453,SS,Somatosensory areas,315,Isocortex
454,CA2sr,Field CA2 stratum radiatum,1080,HIP
455,PVHlp,Paraventricular hypothalamic nucleus descending division lateral parvicellular part,1129,IB
456,AUDpo6b,Posterior auditory area layer 6b,315,Isocortex
457,VIS6a,Visual areas layer 6a,315,Isocortex
458,OT1,Olfactory tubercle molecular layer,623,CNU
460,MEV,Midbrain trigeminal nucleus,313,MB
461,SSp-tr6b,Primary somatosensory area trunk layer 6b,315,Isocortex
462,SSN,Superior salivatory nucleus,1065,HB
463,CA3,Field CA3,1080,HIP
464,PVHmpv,Paraventricular hypothalamic nucleus descending division medial parvicellular part ventral zone,1129,IB
465,OT2,Olfactory tubercle pyramidal layer,623,CNU
467,MEZ,Hypothalamic medial zone,1129,IB
468,ENTm2a,Entorhinal area medial part dorsal zone layer 2a,822,RHP
469,VISpm6b,posteromedial visual area layer 6b,315,Isocortex
470,STN,Subthalamic nucleus,1129,IB
471,CA3slm,Field CA3 stratum lacunosum-moleculare,1080,HIP
472,MEApd-a,Medial amygdalar nucleus posterodorsal part sublayer a,623,CNU
473,OT3,Olfactory tubercle polymorph layer,623,CNU
475,MG,Medial geniculate complex,1129,IB
476,ORB6a,Orbital area layer 6a,315,Isocortex
477,STR,Striatum,623,CNU
478,SSp-ll6a,Primary somatosensory area lower limb layer 6a,315,Isocortex
479,CA3slu,Field CA3 stratum lucidum,1080,HIP
480,MEApd-b,Medial amygdalar nucleus posterodorsal part sublayer b,623,CNU
481,isl,Islands of Calleja,623,CNU
483,MH,Medial habenula,1129,IB
484,ORBm1,Orbital area medial part layer 1,315,Isocortex
485,STRd,Striatum dorsal region,623,CNU
486,CA3so,Field CA3 stratum oriens,1080,HIP
487,MEApd-c,Medial amygdalar nucleus posterodorsal part sublayer c,623,CNU
488,ORBl6b,Orbital area lateral part layer 6b,315,Isocortex
489,islm,Major island of Calleja,623,CNU
491,MM,Medial mammillary nucleus,1129,IB
492,ORB2/3,Orbital area layer 2/3,315,Isocortex
493,STRv,Striatum ventral region,623,CNU
494,SCig-a,Superior colliculus motor related intermediate gray layer sublayer a,313,MB
495,CA3sp,Field CA3 pyramidal layer,1080,HIP
496,DP1,Dorsal peduncular area layer 1,698,OLF
497,VIS6b,Visual areas layer 6b,315,Isocortex
498,BSTam,Bed nuclei of the stria terminalis anterior division anteromedial area,623,CNU
500,MO,Somatomotor areas,315,Isocortex
501,VISpm4,posteromedial visual area layer 4,315,Isocortex
502,SUB,Subiculum,822,RHP
503,SCig-b,Superior colliculus motor related intermediate gray layer sublayer b,313,MB
504,CA3sr,Field CA3 stratum radiatum,1080,HIP
505,BSTdm,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,623,CNU
507,MOB,Main olfactory bulb,698,OLF
508,ENTm2b,Entorhinal area medial part dorsal zone layer 2b,822,RHP
509,SUBd,Subiculum dorsal part,822,RHP
510,SSp-ll6b,Primary somatosensory area lower limb layer 6b,315,Isocortex
511,SCig-c,Superior colliculus motor related intermediate gray layer sublayer c,313,MB
513,BSTfu,Bed nuclei of the stria terminalis anterior division fusiform nucleus,623,CNU
515,MPN,Medial preoptic nucleus,1129,IB
516,ORB6b,Orbital area layer 6b,315,Isocortex
517,TR1-3,Postpiriform transition area layers 1-3,698,OLF
518,SUBv,Subiculum ventral part,822,RHP
519,CBN,Cerebellar nuclei,519,CBN
520,AUDv6a,Ventral auditory area layer 6a,315,Isocortex
521,BSTmg,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,623,CNU
523,MPO,Medial preoptic area,1129,IB
524,ORBm2,Orbital area medial part layer 2,315,Isocortex
525,SUM,Supramammillary nucleus,1129,IB
526,ENTm1,Entorhinal area medial part dorsal zone layer 1,822,RHP
527,AUDd1,Dorsal auditory area layer 1,315,Isocortex
528,CBX,Cerebellar cortex,528,CBX
529,BSTv,Bed nuclei of the stria terminalis anterior division ventral nucleus,623,CNU
531,MPT,Medial pretectal area,313,MB
532,PTLp1,Posterior parietal association areas layer 1,315,Isocortex
533,VISpm,posteromedial visual area,315,Isocortex
534,SUT,Supratrigeminal nucleus,1065,HB
535,DP2,Dorsal peduncular area layer 2,698,OLF
536,CEA,Central amygdalar nucleus,623,CNU
537,BSTal,Bed nuclei of the stria terminalis anterior division anterolateral area,623,CNU
539,MRNm,Midbrain reticular nucleus magnocellular part,313,MB
540,PERI1,Perirhinal area layer 1,315,Isocortex
541,TEa,Temporal association areas,315,Isocortex
542,RSPv1,Retrosplenial area ventral part layer 1,315,Isocortex
543,ENTm2,Entorhinal area medial part dorsal zone layer 2,822,RHP
544,CEAc,Central amygdalar nucleus capsular part,623,CNU
545,RSPd4,Retrosplenial area dorsal part layer 4,315,Isocortex
546,BSTju,Bed nuclei of the stria terminalis anterior division juxtacapsular nucleus,623,CNU
548,MRNmg,Midbrain reticular nucleus magnocellular part general,313,MB
549,TH,Thalamus,1129,IB
550,ENTm5/6,Entorhinal area medial part dorsal zone layer 5/6,822,RHP
551,CEAl,Central amygdalar nucleus lateral part,623,CNU
552,PRNv,Pontine reticular nucleus ventral part,1065,HB
554,BSTov,Bed nuclei of the stria terminalis anterior division oval nucleus,623,CNU
555,MRNp,Midbrain reticular nucleus parvicellular part,313,MB
556,ILA2/3,Infralimbic area layer 2/3,315,Isocortex
557,TM,Tuberomammillary nucleus,1129,IB
558,SSp-n1,Primary somatosensory area nose layer 1,315,Isocortex
559,CEAm,Central amygdalar nucleus medial part,623,CNU
560,CNspg,Cochlear nucleus subpedunclular granular region,1065,HB
561,VIS2/3,Visual areas layer 2/3,315,Isocortex
562,BSTrh,Bed nuclei of the stria terminalis anterior division rhomboid nucleus,623,CNU
564,MS,Medial septal nucleus,623,CNU
565,VISpm5,posteromedial visual area layer 5,315,Isocortex
566,TR,Postpiriform transition area,698,OLF
568,ACVI,Accessory abducens nucleus,1065,HB
569,BSTd,Bed nuclei of the stria terminalis posterior division dorsal nucleus,623,CNU
571,MTN,Midline group of the dorsal thalamus,1129,IB
572,ACA1,Anterior cingulate area layer 1,315,Isocortex
573,VISl4,Lateral visual area layer 4,315,Isocortex
574,TRN,Tegmental reticular nucleus,1065,HB
575,CL,Central lateral nucleus of the thalamus,1129,IB
576,ACVII,Accessory facial motor nucleus,1065,HB
577,SSp-ul4,Primary somatosensory area upper limb layer 4,315,Isocortex
578,BSTpr,Bed nuclei of the stria terminalis posterior division principal nucleus,623,CNU
580,NB,Nucleus of the brachium of the inferior colliculus,313,MB
581,TRS,Triangular nucleus of septum,623,CNU
582,ORBm2/3,Orbital area medial part layer 2/3,315,Isocortex
583,CLA,Claustrum,703,CTXsp
584,COApl1-2,Cortical amygdalar area posterior part lateral zone layers 1-2,698,OLF
585,BSTif,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,623,CNU
587,ND,Nucleus of Darkschewitsch,313,MB
588,ACAv1,Anterior cingulate area ventral part layer 1,315,Isocortex
589,TT,Taenia tecta,698,OLF
590,RSPv6a,Retrosplenial area ventral part layer 6a,315,Isocortex
591,CLI,Central linear nucleus raphe,313,MB
592,COApm1-2,Cortical amygdalar area posterior part medial zone layers 1-2,698,OLF
593,VISp1,Primary visual area layer 1,315,Isocortex
594,BSTtr,Bed nuclei of the stria terminalis posterior division transverse nucleus,623,CNU
596,NDB,Diagonal band nucleus,623,CNU
597,TTd,Taenia tecta dorsal part,698,OLF
598,AUDv6b,Ventral auditory area layer 6b,315,Isocortex
599,CM,Central medial nucleus of the thalamus,1129,IB
600,AUDd2/3,Dorsal auditory area layer 2/3,315,Isocortex
601,VISal6a,Anterolateral visual area layer 6a,315,Isocortex
602,BSTse,Bed nuclei of the stria terminalis posterior division strial extension,623,CNU
604,NI,Nucleus incertus,1065,HB
605,TTv,Taenia tecta ventral part,698,OLF
606,RSPv2,Retrosplenial area ventral part layer 2,315,Isocortex
607,CN,Cochlear nuclei,1065,HB
608,ORBvl6a,Orbital area ventrolateral part layer 6a,315,Isocortex
609,SPA,Subparafascicular area,1129,IB
610,RSPd5,Retrosplenial area dorsal part layer 5,315,Isocortex
612,NLL,Nucleus of the lateral lemniscus,1065,HB
613,VISl5,Lateral visual area layer 5,315,Isocortex
614,TU,Tuberal nucleus,1129,IB
615,SNl,Substantia nigra lateral part,313,MB
616,CUN,Cuneiform nucleus,313,MB
617,MDc,Mediodorsal nucleus of the thalamus central part,1129,IB
619,NLOT,Nucleus of the lateral olfactory tract,698,OLF
620,ORBm5,Orbital area medial part layer 5,315,Isocortex
621,V,Motor nucleus of trigeminal,1065,HB
622,RSPv6b,Retrosplenial area ventral part layer 6b,315,Isocortex
623,CNU,Cerebral nuclei,623,CNU
625,SSp-ul5,Primary somatosensory area upper limb layer 5,315,Isocortex
626,MDl,Mediodorsal nucleus of the thalamus lateral part,1129,IB
628,NOT,Nucleus of the optic tract,313,MB
629,VAL,Ventral anterior-lateral complex of the thalamus,1129,IB
630,ORBl5,Orbital area lateral part layer 5,315,Isocortex
631,COA,Cortical amygdalar area,698,OLF
632,DG-sg,Dentate gyrus granule cell layer,1080,HIP
634,NPC,Nucleus of the posterior commissure,313,MB
635,PTLp4,Posterior parietal association areas layer 4,315,Isocortex
636,MDm,Mediodorsal nucleus of the thalamus medial part,1129,IB
637,VENT,Ventral group of the dorsal thalamus,1129,IB
638,GU6a,Gustatory areas layer 6a,315,Isocortex
639,COAa,Cortical amygdalar area anterior part,698,OLF
640,EV,Efferent vestibular nucleus,1065,HB
642,NTB,Nucleus of the trapezoid body,1065,HB
643,AUDpo2/3,Posterior auditory area layer 2/3,315,Isocortex
644,MO6a,Somatomotor areas Layer 6a,315,Isocortex
645,VERM,Vermal regions,528,CBX
646,DP5,Dorsal peduncular area layer 5,698,OLF
647,COAp,Cortical amygdalar area posterior part,698,OLF
648,MOp5,Primary motor area Layer 5,315,Isocortex
649,VISal6b,Anterolateral visual area layer 6b,315,Isocortex
651,NTS,Nucleus of the solitary tract,1065,HB
652,PVHpml,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part lateral zone,1129,IB
653,VI,Abducens nucleus,1065,HB
654,SSp-n4,Primary somatosensory area nose layer 4,315,Isocortex
655,COApl,Cortical amygdalar area posterior part lateral zone,698,OLF
656,MOs1,Secondary motor area layer 1,315,Isocortex
657,SSp-m2/3,Primary somatosensory area mouth layer 2/3,315,Isocortex
659,NTSce,Nucleus of the solitary tract central part,1065,HB
660,PVHpmm,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part medial zone,1129,IB
661,VII,Facial motor nucleus,1065,HB
662,GU6b,Gustatory areas layer 6b,315,Isocortex
663,COApm,Cortical amygdalar area posterior part medial zone,698,OLF
664,ENTm3,Entorhinal area medial part dorsal zone layer 3,822,RHP
666,NTSco,Nucleus of the solitary tract commissural part,1065,HB
667,FRP2/3,Frontal pole layer 2/3,315,Isocortex
668,DMHa,Dorsomedial nucleus of the hypothalamus anterior part,1129,IB
669,VIS,Visual areas,315,Isocortex
670,SSp-tr2/3,Primary somatosensory area trunk layer 2/3,315,Isocortex
671,RSPagl1,Retrosplenial area lateral agranular part layer 1,315,Isocortex
672,CP,Caudoputamen,623,CNU
674,NTSge,Nucleus of the solitary tract gelatinous part,1065,HB
675,AIv6a,Agranular insular area ventral part layer 6a,315,Isocortex
676,DMHp,Dorsomedial nucleus of the hypothalamus posterior part,1129,IB
677,VISC,Visceral area,315,Isocortex
678,AUDd4,Dorsal auditory area layer 4,315,Isocortex
679,CS,Superior central nucleus raphe,1065,HB
680,ORBvl6b,Orbital area ventrolateral part layer 6b,315,Isocortex
682,NTSl,Nucleus of the solitary tract lateral part,1065,HB
683,PTLp5,Posterior parietal association areas layer 5,315,Isocortex
684,DMHv,Dorsomedial nucleus of the hypothalamus ventral part,1129,IB
685,VM,Ventral medial nucleus of the thalamus,1129,IB
686,SSp6a,Primary somatosensory area layer 6a,315,Isocortex
687,RSPv5,Retrosplenial area ventral part layer 5,315,Isocortex
689,VLPO,Ventrolateral preoptic nucleus,1129,IB
691,NTSm,Nucleus of the solitary tract medial part,1065,HB
692,PERI5,Perirhinal area layer 5,315,Isocortex
693,VMH,Ventromedial hypothalamic nucleus,1129,IB
694,AIv2/3,Agranular insular area ventral part layer 2/3,315,Isocortex
696,AUDpo1,Posterior auditory area layer 1,315,Isocortex
698,OLF,Olfactory areas,698,OLF
699,AIv6b,Agranular insular area ventral part layer 6b,315,Isocortex
700,AHNa,Anterior hypothalamic nucleus anterior part,1129,IB
701,VNC,Vestibular nuclei,1065,HB
702,SSp-n5,Primary somatosensory area nose layer 5,315,Isocortex
703,CTXsp,Cortical subplate,703,CTXsp
704,AIv1,Agranular insular area ventral part layer 1,315,Isocortex
706,OP,Olivary pretectal nucleus,313,MB
707,ILA1,Infralimbic area layer 1,315,Isocortex
708,AHNc,Anterior hypothalamic nucleus central part,1129,IB
709,VP,Ventral posterior complex of the thalamus,1129,IB
711,CU,Cuneate nucleus,1065,HB
712,ENTm4,Entorhinal area medial part dorsal zone layer 4,822,RHP
714,ORB,Orbital area,315,Isocortex
715,ENTl2a,Entorhinal area lateral part layer 2a,822,RHP
716,AHNd,Anterior hypothalamic nucleus dorsal part,1129,IB
718,VPL,Ventral posterolateral nucleus of the thalamus,1129,IB
719,SSp6b,Primary somatosensory area layer 6b,315,Isocortex
720,DCN,Dorsal column nuclei,1065,HB
721,VISp4,Primary visual area layer 4,315,Isocortex
723,ORBl,Orbital area lateral part,315,Isocortex
724,AHNp,Anterior hypothalamic nucleus posterior part,1129,IB
725,VPLpc,Ventral posterolateral nucleus of the thalamus parvicellular part,1129,IB
726,DG,Dentate gyrus,1080,HIP
727,ENTm5,Entorhinal area medial part dorsal zone layer 5,822,RHP
729,TEa6a,Temporal association areas layer 6a,315,Isocortex
731,ORBm,Orbital area medial part,315,Isocortex
732,Mmme,Medial mammillary nucleus median part,1129,IB
733,VPM,Ventral posteromedial nucleus of the thalamus,1129,IB
734,DGcr,Dentate gyrus crest,1080,HIP
735,AUDp1,Primary auditory area layer 1,315,Isocortex
738,ORBv,Orbital area ventral part,315,Isocortex
739,ACA5,Anterior cingulate area layer 5,315,Isocortex
740,MPNc,Medial preoptic nucleus central part,1129,IB
741,VPMpc,Ventral posteromedial nucleus of the thalamus parvicellular part,1129,IB
742,DGcr-mo,Dentate gyrus crest molecular layer,1080,HIP
743,ENTm6,Entorhinal area medial part dorsal zone layer 6,822,RHP
746,ORBvl,Orbital area ventrolateral part,315,Isocortex
747,ILA2,Infralimbic area layer 2,315,Isocortex
748,MPNl,Medial preoptic nucleus lateral part,1129,IB
749,VTA,Ventral tegmental area,313,MB
750,VISpl1,Posterolateral visual area layer 1,315,Isocortex
751,DGcr-po,Dentate gyrus crest polymorph layer,1080,HIP
754,OT,Olfactory tubercle,623,CNU
755,AUDv2/3,Ventral auditory area layer 2/3,315,Isocortex
756,MPNm,Medial preoptic nucleus medial part,1129,IB
757,VTN,Ventral tegmental nucleus,313,MB
758,DGcr-sg,Dentate gyrus crest granule cell layer,1080,HIP
759,AUDpo4,Posterior auditory area layer 4,315,Isocortex
761,VMHa,Ventromedial hypothalamic nucleus anterior part,1129,IB
763,OV,Vascular organ of the lamina terminalis,1129,IB
764,ENTl2b,Entorhinal area lateral part layer 2b,822,RHP
765,x,Nucleus x,1065,HB
766,DGlb,Dentate gyrus lateral blade,1080,HIP
767,MOs5,Secondary motor area layer 5,315,Isocortex
769,VMHc,Ventromedial hypothalamic nucleus central part,1129,IB
771,P,Pons,1065,HB
772,ACAv5,Anterior cingulate area ventral part layer 5,315,Isocortex
773,XII,Hypoglossal nucleus,1065,HB
774,RSPagl5,Retrosplenial area lateral agranular part layer 5,315,Isocortex
775,DGlb-mo,Dentate gyrus lateral blade molecular layer,1080,HIP
777,VMHdm,Ventromedial hypothalamic nucleus dorsomedial part,1129,IB
778,VISp5,Primary visual area layer 5,315,Isocortex
780,PA,Posterior amygdalar nucleus,703,CTXsp
781,y,Nucleus y,1065,HB
782,DGlb-po,Dentate gyrus lateral blade polymorph layer,1080,HIP
783,AId6a,Agranular insular area dorsal part layer 6a,315,Isocortex
785,VMHvl,Ventromedial hypothalamic nucleus ventrolateral part,1129,IB
786,TEa6b,Temporal association areas layer 6b,315,Isocortex
788,PAA,Piriform-amygdalar area,698,OLF
789,z,Nucleus z,1065,HB
790,DGlb-sg,Dentate gyrus lateral blade granule cell layer,1080,HIP
791,AUDpo5,Posterior auditory area layer 5,315,Isocortex
793,SSp1,Primary somatosensory area layer 1,315,Isocortex
795,PAG,Periaqueductal gray,313,MB
796,A13,Dopaminergic A13 group,1129,IB
797,ZI,Zona incerta,1129,IB
799,DGmb,Dentate gyrus medial blade,1080,HIP
800,AIv5,Agranular insular area ventral part layer 5,315,Isocortex
801,VIS1,Visual areas layer 1,315,Isocortex
803,PAL,Pallidum,623,CNU
804,FF,Fields of Forel,1129,IB
805,VISpm1,posteromedial visual area layer 1,315,Isocortex
